"e743aebf90a2e4275f03450ebe7406a1.png" "Stage/backdrop1.png"
"65ad3963674710d9f0c2077193fc8876.wav" "Ball2/Police Siren.wav"
"50428f2f9b3470db4a3e41193935ad49.wav" "Ball2/pop.wav"
"61a6055fd049660f14bec4171e993582.svg" "Coin/Ball.svg"
"2569711dba4db3e985bff1c610551e7d.svg" "Coin/Ball2.svg"
"cbac263487849208c35054deee17f0f8.svg" "Coin/Ball3.svg"
"8032cff48931288c643f99b54293cd47.wav" "Coin/Drum Boing.wav"
"65ad3963674710d9f0c2077193fc8876.wav" "Coin/Police Siren.wav"
"50428f2f9b3470db4a3e41193935ad49.wav" "Coin/pop.wav"
"9ede83be2bbc9e6c79bb6fe129d0909a.wav" "Coin/Coin.wav"
"61a6055fd049660f14bec4171e993582.svg" "Coin2/Ball.svg"
"5e8243cf3fdd783ea3e35267fba7f089.svg" "Coin2/Ball2.svg"
"f5cc330a49bad3674f7d82ccbdff4973.svg" "Coin2/Ball3.svg"
"88923569fe466bced7403f8e4319af7d.svg" "Coin2/Ball4.svg"
"beb2c7157be4f4e006f19531ad8f51d5.svg" "Coin2/Ball5.svg"
"8a3003c0a35c9ce3daeae1ce7538a3c1.svg" "Coin2/Ball7.svg"
"9e974cc7335e30e1f6c0748c9bca29be.svg" "Coin2/Ball6.svg"
"8032cff48931288c643f99b54293cd47.wav" "Coin2/Drum Boing.wav"
"d5429847ebd494c5442fd2c5decc52fd.wav" "Coin2/Bling1.wav"
"2a9f7b734cf08ce096d7709f134f3d91.wav" "Coin2/supercharge.wav"
"20006c60773bb0d0893b103423b50ac2.mp3" "Coin2/impervious.mp3"
"c03dbc4f4957d7cad7c557209f03f869.wav" "Coin2/Heal1.wav"
"d5429847ebd494c5442fd2c5decc52fd.wav" "Coin2/Bling2.wav"
"9ea26b3976fc0ff319f08d7619c3a7fe.svg" "Text Eng/1.svg"
"7ae38dc4758a00dd206c58160bbbb5a0.svg" "Text Eng/2.svg"
"cfd3e26698658e4fcab74b2c08a6471e.svg" "Text Eng/10.svg"
"007732c15360f415956d575cf410d994.svg" "Text Eng/3.svg"
"9a0c78bfea3c02d3f98f89a5addfa284.svg" "Text Eng/4.svg"
"cb8fc23f0dd4045e19aa5d190dfa5eb2.svg" "Text Eng/5.svg"
"29292d184e1883da8ebf4a1152666b23.svg" "Text Eng/6.svg"
"de08960d15a4fd6bd1f8351f53fd4593.svg" "Text Eng/7.svg"
"d2f31985ba4ee37d180c47f4bb2877da.svg" "Text Eng/8.svg"
"914a7ce45de5cfb24d0f347d52612bc0.svg" "Text Eng/9.svg"
"755841a122d6edacea01cd9621755f2f.svg" "Text Eng/0.svg"
"ead0f3d52b46e742ad8dcc9d932c4f31.svg" "Text Eng/+.svg"
"6394034088b906eb1aa00796813ce522.svg" "Text Eng/A.svg"
"18c04d8d941d3c432ff0435d5ba4f136.svg" "Text Eng/B.svg"
"8a296d5038addf97c1a74b49846440a0.svg" "Text Eng/C.svg"
"427779e86c700f6ce8d19dc9804acbd6.svg" "Text Eng/D.svg"
"b0b8a8b8c0a2500c162d5621c8a85556.svg" "Text Eng/E.svg"
"0346b6e5175c50e7bf1dd35489acf173.svg" "Text Eng/F.svg"
"9e2016eb1cd39d7dcfd7dcb517dad773.svg" "Text Eng/G.svg"
"d2578a9eb56fb51dc34807ea379d894e.svg" "Text Eng/H.svg"
"8c7133cd0ca2680e6cd5ca6cbae8639e.svg" "Text Eng/I.svg"
"ffe2b4f6d824ba2632ea42541eedaa52.svg" "Text Eng/J.svg"
"26c9ce0eb106cf4839813736597373f8.svg" "Text Eng/K.svg"
"b84f847305dad840613a55298af4c149.svg" "Text Eng/L.svg"
"b35fba985e2933dd5a9ed10879dcf6f7.svg" "Text Eng/M.svg"
"7e5a12d7a2cbc0785068d5e73cd58148.svg" "Text Eng/N.svg"
"dd40f831e950d003fc2363fac199f4f5.svg" "Text Eng/O.svg"
"0b3e267065f0daec42243aa7d62e9fa1.svg" "Text Eng/P.svg"
"9e5b4528370b56ac66626f95e14a74d3.svg" "Text Eng/Q.svg"
"b68501fe64aeada4e5d788376b91c7a0.svg" "Text Eng/R.svg"
"161bc7354d3c842fdecfd135131d03d9.svg" "Text Eng/S.svg"
"42695b3ab82ab2c9e3881ddb006d21b1.svg" "Text Eng/T.svg"
"81c1698672a0d0396861f16acdeb836c.svg" "Text Eng/U.svg"
"b2631a0523f15892ad20227a9e6e8b0d.svg" "Text Eng/V.svg"
"a4d12c214768f175f0cbe054f131bca4.svg" "Text Eng/W.svg"
"3d63b6a92847d7a95d88614b78f71737.svg" "Text Eng/X.svg"
"4a0d1ed49a5375a5742cd9085c955ae9.svg" "Text Eng/Y.svg"
"4ef6f99249994a405fd1978c749ea571.svg" "Text Eng/Z.svg"
"c1850cc2973b53e3da216527ed2d17c8.svg" "Text Eng/a.svg"
"14a9887f569203c0320214d49f42c878.svg" "Text Eng/b.svg"
"9947d2c19a7467f1569af052c68319b6.svg" "Text Eng/c.svg"
"ed6329398ccde297e052c1550228fab6.svg" "Text Eng/d.svg"
"ffeafb24a2c953a572ea351ef56015cc.svg" "Text Eng/e.svg"
"d31e736b66141d8de28e9cc8d9c6b391.svg" "Text Eng/f.svg"
"f0029a03fc9d58f06e288de53b7b81ae.svg" "Text Eng/g.svg"
"bc37937417fe796252adf0fedfa438e5.svg" "Text Eng/h.svg"
"cade4d5ed3ecafb93c348cf880b73592.svg" "Text Eng/i.svg"
"686719198c574cbedd63bdaed2c914ef.svg" "Text Eng/j.svg"
"f26b29712ef6daa1b3b4a449aa764310.svg" "Text Eng/k.svg"
"4e041fe864d29c63579115ac1b6234c3.svg" "Text Eng/l.svg"
"b6e215877b8d24051e7cc9c774b62589.svg" "Text Eng/m.svg"
"54f5aafafc4c61c66223127d6bd00af4.svg" "Text Eng/n.svg"
"e04bfb649896ee34772c0dfe2f83a891.svg" "Text Eng/o.svg"
"ef1e25b9660ca421cfdcaa1898e206da.svg" "Text Eng/p.svg"
"8c532b96e076905518a2122423311bab.svg" "Text Eng/q.svg"
"e85faa7a50574718ca96d4c28353063b.svg" "Text Eng/r.svg"
"6865eb12f1b8c8efc18795ec0114c6b3.svg" "Text Eng/s.svg"
"c94230b610e059ae31ebf3cb9ec5abbf.svg" "Text Eng/t.svg"
"0778f2cfad13625467123a0a94beb094.svg" "Text Eng/u.svg"
"d708dfae6043642b1c55d6c43c25b403.svg" "Text Eng/v.svg"
"740b9532abf0a7e14e880c10eb36f3ff.svg" "Text Eng/w.svg"
"da16399cae4a3207ca7c3192f7db5002.svg" "Text Eng/x.svg"
"b09e6b21164bc83ded6f0dcfa8c3002d.svg" "Text Eng/y.svg"
"86d9c324a2fabf8654b13e2fa1f42b68.svg" "Text Eng/z.svg"
"efa1619ec67239448c717a57422130f3.svg" "Text Eng/ .svg"
"f6cec487cc4066be62209f8e7e06ac57.svg" "Text Eng/!.svg"
"f5e9715d532d8b98f9f763346dcdc0ea.svg" "Text Eng/..svg"
"833e6e08612abda53f24a1696c746415.svg" "Text Eng/*.svg"
"552f010c6ac90cb2d07a75e52aaac7da.svg" "Text Eng/'.svg"
"2a018c117a66ed911027ed10ee0a1277.svg" "Text Eng/$.svg"
"8fd7e4035f3e41d19f1ac53eeb37174a.svg" "Text Eng/-.svg"
"9a3b5ad866497dc0cc61648daff2c6f6.svg" "Text Eng/-.svg"
"51ca9894ef5ff23d8d6bd9cbbe2fcabc.svg" "Text Eng/-.svg"
"da90075cebd4ad3f122525a9b7131b5d.svg" "Text Eng/>.svg"
"efa1619ec67239448c717a57422130f3.svg" "Text Eng/<.svg"
"a358506a6b46973ce617fbf301e2a772.svg" "Text Eng/,.svg"
"dfa5fd2d27f79454c2b0f9e088bea110.svg" "Text Eng/-.svg"
"f2c22713f95eba487a28a06aed52bd06.svg" "Text Eng/(.svg"
"4c1ee88eb6c471d74cea57671ff5ad12.svg" "Text Eng/).svg"
"fdf55c8b7ab6cf2fdbdbb9a3eaf9c2e5.svg" "Text Eng/~.svg"
"8d9192a647b488653f5ae8583ab9a0d7.png" "Text Eng/`.png"
"a9465d0bb9c16d990ee8cecc96605ddf.png" "Text Eng/\.png"
"fbf0e7341970ccf2b848054beeeedb68.svg" "Text Eng/二.svg"
"abd4d355870e95bb4c7264db54e93948.png" "Text Eng/@.png"
"4f4164f0235f7e9223de5fb59a5f9020.svg" "Text Eng/%.svg"
"ec38c7df729e1191c65ba186e70e1704.png" "forbid/closed2.png"
"83a9787d4cb6f3b7632b4ddfebf74367.wav" "forbid/pop.wav"
"d714a9ac766bb671f42a70ee13a7f622.svg" "LevelDisp/True.svg"
"e5710d16bbdf46dea3882f7a61655f24.svg" "LevelDisp/False.svg"
